tag	title
CCB	Center for Children's Books, Bulletin
AAPSS	American Academy of Political and Social Science, Annals
BSA	Bibliographical Society of America, Papers
BritBkN	British Book News
NASSP	National Association of Secondary School Principals, Bulletin
TIS	Times Literary Supplement
JPol	Journal of Politics
NewR	New Republic
Econ, Survey	Economist. Survey
AAnth	American Anthropologist
SFictR	Science Fiction Review
W&MQ	William and Mary Quarterly
SmPrR	Small Press Review
Worn R Bks	Women's Review of Books